CODE_ISIN,CODE_LANGUE
LU1295552621,FR
FR0010149120,FR
FR0010149179,FR
LU0318931192,FR
IE0004766675,FR
FR0010097667,FR
LU1291158233,FR
FR0010836163,FR
FR0010917658,FR
LU0108459040,FR
FR0007054358,FR
FR0010058008,FR
LU1481483334,FR
LU0641745681,FR
LU0284396016,FR
FR0011645621,FR
FR0000444275,FR
LU0357130854,FR
FR0010859769,FR
FR0010321828,FR
LU0332315638,FR
LU1244893696,FR
FR0013219243,FR
LU0992632538,FR
LU1102960371,FR
FR0013197605,FR
FR0013210887,FR
FR0010177998,FR
LU0690375182,FR
LU0238202427,FR
LU0251127410,FR
LU0261946445,FR
LU0594300179,FR
FR0000008674,FR
LU0922334643,FR
LU0261948227,FR
LU0261947096,FR
GB0033874214,FR
LU0260870158,FR
LU0122613655,FR
LU0251131958,FR
LU0261950470,FR
LU0048167497,FR
LU0231490524,FR
LU0566486402,FR
FR0011443233,FR
LU0070992663,FR
LU0572952280,FR
LU0046217351,FR
LU0127786431,FR
LU1093756242,FR
LU0503253931,FR
LU0119750205,FR
LU0028118809,FR
IE00B6R52143,FR
IE00B6R52036,FR
IE00B5BMR087,FR
LU0244270301,FR
LU0095938881,FR
LU0522352946,FR
LU0210529144,FR
LU0208853274,FR
LU0117841949,FR
LU0210527015,FR
LU0880062913,FR
LU0260085492,FR
FR0010320366,FR
IE00BYN5TY60,FR
FR0010315770,FR
FR0000448987,FR
IE00BKVBJH15,FR
LU0411704413,FR
FR0010156604,FR
FR0013515970,FR
FR0014008207,FR
FR001400KAV4,FR
FR0010148981,FR
FR0010147603,FR
FR0010135103,FR
LU0099161993,FR
FR0010032573,FR
FR0007450002,FR
LU2597550263,FR
LU1248400076,FR
FR0000984254,FR
LU2578823499,FR
FR0012300374,FR
LU1989765471,FR
FR0010097683,FR
XS2277927872,FR
LU2698960866,FR
LU0380865021,FR
FR0010016477,FR
LU1907595398,FR
LU0284394235,FR
LU0641745921,FR
LU0273164847,FR
LU0507265923,FR
FR001400IQ71,FR
FR2CIBFS0870,FR
FR0010491803,FR
FR0013488244,FR
FR0014008W63,FR
LU2038611765,FR
FR001400IPS2,FR
FR001400JGG4,FR
FR001400JGB5,FR
FR0011034495,FR
FR001400LZQ9,FR
FR001400GXY8,FR
IE00BLP5S460,FR
IE00BD1DJ122,FR
LU0204988207,FR
FR0010341800,FR
LU0090689299,FR
LU0104884860,FR
LU0217139020,FR
FR0007050570,FR
FR0011640986,FR
FR0000295230,FR
FR0007045737,FR
LU0510167009,FR
LU0226953718,FR
LU0320896664,FR
LU0244354667,FR
LU0935229400,FR
GB00B0119933,FR
FR0010431015,FR
FR0010259994,FR
FR0010260000,FR
FR0000988503,FR
FR0013076452,FR
FR0010349977,FR
LU0229940001,FR
LU0094040077,FR
LU0122613903,FR
FR0007075494,FR
FR0010588343,FR
LU0723564463,FR
FR0012881043,FR
LU0073503921,FR
FR0010411884,FR
FR001400L404,FR
IE00BFZPF546,FR
IE00B4L5Y983,FR
FR0011169341,FR
FR0013259231,FR
FR0013323730,FR
FR0010242461,FR
FR0011037894,FR
FR0010458190,FR
FR001400K5L7,FR
LU1391858039,FR
LU1391857908,FR
LU0115773425,FR
LU1892829315,FR
LU0945775517,FR
LU0594300096,FR
FR001400IF09,FR
FRSG000143P3,FR
XS2637658423,FR
FR2CIBFS2801,FR
XS2699519315,FR
XS2699552951,FR
XS2699598434,FR
XS2521294483,FR
FR1CIBFS9690,FR
XS2699553090,FR
IE00BHZRR147,FR
FR0010657601,FR
LU0260870661,FR
LU0294221097,FR
LU0109391861,FR
FR0010626796,FR
IE00B56X5F76,FR
LU1472581609,FR
FR0013531365,FR
FR0013531357,FR
FR0010902726,FR
LU0912261624,FR
LU0708055370,FR
LU0165128348,FR
FR001400I4I0,FR
LU1832174962,FR
LU1073919679,FR
LU0243956348,FR
LU0243957239,FR
LU0432616737,FR
IE00BHZPJ569,FR
IE00BHZPJ783,FR
IE00BQT3WG13,FR
IE00BGL86Z12,FR
IE00BHZPJ015,FR
IE00BYZK4776,FR
IE00BYZK4669,FR
IE00BG0J4C88,FR
IE00BP3QZ601,FR
LU2061939646,FR
LU0256064774,FR
LU0740858229,FR
LU0432979960,FR
FR0000980427,FR
FR0013439478,FR
FR0013439817,FR
FR0010858498,FR
FR001400FM37,FR
GB00BKGR3H21,FR
LU1012219207,FR
FR0013418688,FR
IE00BF0M6N54,FR
FR0050000977,FR
IE00B19Z6F94,FR
LU1792117340,FR
LU1792117696,FR
LU1769088581,FR
LU1691909508,FR
LU1841613463,FR
FR0011882364,FR
LU0533032008,FR
LU1834988781,FR
LU0533033667,FR
LU0539466150,FR
IE00B61N8946,FR
LU0812607454,FR
LU0985424349,FR
IE00B8V74V41,FR
FR0014009BP1,FR
GB0030932676,FR
GB00B1H05155,FR
LU1623119218,FR
LU0552643339,FR
LU1911611140,FR
FR0010400762,FR
FR0013083680,FR
LU0161687693,FR
LU1391858385,FR
LU1506378568,FR
LU1391857817,FR
LU0979136255,FR
LU1391858112,FR
LU1391859516,FR
LU0844168194,FR
LU0859660069,FR
LU0512092221,FR
LU0694238766,FR
LU0073233958,FR
LU0073232471,FR
LU1781541179,FR
IE00B3MB7B14,FR
LU2564068026,FR
FR0014000881,FR
LU1951202693,FR
LU1335435464,FR
LU2169557654,FR
FR0011563535,FR
IE00BVYJ5W68,FR
IE00B12VW672,FR
FR0000970972,FR
IE00BYXVX196,FR
IE00BZ0GCL74,FR
FR0010734491,FR
FR001400CPO4,FR
FR0007064134,FR
FR001400C7W0,FR
FR0010574434,FR
FR0011170182,FR
FR0010564351,FR
FR0011381227,FR
FR0000011074,FR
LU0256840447,FR
GB0003501581,FR
IE00B9DCSJ09,FR
FR001400IOS5,FR
FR001400IPV6,FR
FR001400M1Y7,FR
FR001400M113,FR
XS2517243346,FR
FR001400J0O5,FR
XS2678870556,FR
XS2593761658,FR
LU0128494944,FR
LU0280430405,FR
IE00B84J9L26,FR
IE00B11XZB05,FR
IE00B11XZ103,FR
LU2261172451,FR
FR001400A1J2,FR
FR0014005AW7,FR
FR0011349901,FR
FR0011243393,FR
FR0010897199,FR
FR0010786350,FR
FR0000098006,FR
FR0010912915,FR
FRSG000141K8,FR
XS2659669779,FR
FR0012300739,FR
FR0010906305,FR
FR001400IBK9,FR
XS2516343196,FR
FR2CIBFS1837,FR
LU0209860427,FR
LU1811861431,FR
LU0203975437,FR
LU0474363974,FR
LU0434928536,FR
FR0010237503,FR
LU1100077103,FR
LU1100076550,FR
FR0011261197,FR
FR2CIBFS1589,FR
IE00B7KFL990,FR
FR0050000829,FR
FR0050000837,FR
FR0013381035,FR
FR0014000QG7,FR
FR0011362094,FR
FR001400HZX3,FR
FR0011584416,FR
FR0007040373,FR
LU1882445643,FR
LU1622150198,FR
LU1883868819,FR
LU1883303635,FR
LU1880401523,FR
LU1894683009,FR
FR0013329828,FR
FR0010173237,FR
LU0482270153,FR
LU0162658883,FR
FR0011445436,FR
